Date updated:,5-Jan-21,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,
What is this data?,Enterprise value multiples,,,,Emerging Markets,,,,
Home Page:,http://www.damodaran.com,,,,,,,,
Data website:,http://www.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,
Companies in each industry:,http://www.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,
Variable definitions:,http://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,
,,Only positive EBITDA firms,,,,All firms,,,
Industry Name,Number of firms,EV/EBITDAR&D,EV/EBITDA,EV/EBIT,EV/EBIT (1-t),EV/EBITDAR&D,EV/EBITDA,EV/EBIT,EV/EBIT (1-t)
Advertising,126,21.72,24.75,39.91,53.46,27.35,31.86,43.57,58.35
Aerospace/Defense,107,18.51,29.23,56.98,71.06,20.28,32.77,60.04,74.88
Air Transport,84,26.83,27.68,NA,NA,14.36,14.48,NA,NA
Apparel,937,14.10,15.36,33.13,47.86,15.37,16.63,38.83,56.08
Auto & Truck,85,12.10,18.30,67.61,127.35,16.95,26.19,90.94,171.29
Auto Parts,478,11.79,15.49,37.85,47.70,11.28,14.39,40.02,50.43
Bank (Money Center),471,NA,NA,NA,NA,NA,NA,NA,NA
Banks (Regional),96,NA,NA,NA,NA,NA,NA,NA,NA
Beverage (Alcoholic),126,33.86,34.20,40.25,53.12,32.93,33.25,40.51,53.46
Beverage (Soft),38,19.29,19.49,28.15,42.08,15.85,15.98,28.19,42.13
Broadcasting,67,9.16,9.31,20.75,29.44,11.19,11.35,28.00,39.73
Brokerage & Investment Banking,410,163.34,182.48,NA,NA,NA,NA,NA,NA
Building Materials,232,13.73,15.64,24.77,30.56,14.92,17.04,26.45,32.62
Business & Consumer Services,285,18.02,20.35,29.77,37.18,19.44,21.88,32.98,41.20
Cable TV,35,8.30,8.47,21.61,33.65,7.76,7.91,22.57,35.15
Chemical (Basic),656,14.15,15.73,29.72,38.47,14.07,15.57,30.58,39.59
Chemical (Diversified),39,12.51,13.27,24.83,29.14,13.24,14.03,26.64,31.27
Chemical (Specialty),553,15.27,16.97,27.18,34.10,14.81,16.35,27.99,35.12
Coal & Related Energy,96,5.27,5.37,8.22,11.00,4.84,4.93,8.45,11.31
Computer Services,466,16.56,18.47,22.36,29.58,18.68,21.04,23.21,30.70
Computers/Peripherals,214,7.75,10.63,18.97,26.07,8.71,12.43,19.31,26.54
Construction Supplies,519,8.32,9.22,12.86,16.39,8.82,9.79,13.62,17.35
Diversified,210,8.63,8.76,12.44,16.44,7.60,7.70,12.73,16.82
Drugs (Biotechnology),253,24.73,46.63,NA,NA,74.66,NA,NA,NA
Drugs (Pharmaceutical),657,15.90,21.15,30.95,38.75,18.56,25.29,33.72,42.21
Education,154,29.64,32.85,97.66,132.34,39.86,45.03,111.88,151.62
Electrical Equipment,610,19.18,25.85,44.54,55.46,22.22,30.73,48.08,59.87
Electronics (Consumer & Office),86,7.46,13.65,34.68,47.15,8.95,17.65,38.31,52.08
Electronics (General),891,12.76,17.77,33.64,41.56,14.29,20.58,34.77,42.95
Engineering/Construction,869,6.14,7.85,10.36,13.74,6.68,8.62,10.87,14.41
Entertainment,330,17.10,24.30,91.39,162.10,30.10,45.17,142.97,NA
Environmental & Waste Services,143,13.02,13.74,20.00,25.29,15.67,16.68,20.58,26.03
Farming/Agriculture,283,12.83,13.26,19.59,23.75,17.59,18.39,20.41,24.75
Financial Svcs. (Non-bank & Insurance),611,19.31,20.50,23.52,32.07,79.86,84.65,100.45,136.94
Food Processing,884,14.30,14.63,20.18,25.46,16.63,17.06,20.58,25.97
Food Wholesalers,84,13.29,13.36,22.61,32.08,14.66,14.74,23.81,33.78
Furn/Home Furnishings,244,15.16,19.04,26.44,31.69,15.39,19.31,26.94,32.28
Green & Renewable Energy,121,13.28,13.33,20.74,24.37,13.18,13.23,20.95,24.62
Healthcare Products,258,21.04,24.65,29.19,35.02,40.26,53.97,32.14,38.56
Healthcare Support Services,157,14.95,15.74,19.05,24.90,16.92,17.86,20.62,26.94
Heathcare Information and Technology,98,82.16,109.07,194.14,NA,119.54,178.72,NA,NA
Homebuilding,37,11.93,12.08,13.75,18.01,12.55,12.71,14.77,19.36
Hospitals/Healthcare Facilities,122,32.69,33.24,60.77,78.38,37.28,37.84,78.36,101.07
Hotel/Gaming,409,29.36,30.15,NA,NA,12.99,13.12,NA,NA
Household Products,277,22.96,24.51,35.78,49.09,26.00,27.85,38.52,52.85
Information Services,83,15.55,17.39,28.47,35.99,25.64,28.20,54.65,69.09
Insurance (General),148,10.08,10.08,20.45,32.98,10.67,10.67,20.97,33.83
Insurance (Life),75,10.47,10.47,10.77,12.24,11.62,11.62,11.00,12.50
Insurance (Prop/Cas.),145,8.56,8.56,9.62,11.63,10.15,10.15,10.71,12.94
