industry_sector,sales_multiplier
Heathcare Information and Technology,22.11
Drugs (Biotechnology),18.45
R.E.I.T.,13.53
Beverage (Alcoholic),10.5
Healthcare Products,8.44
Software (Entertainment),7.98
Software (System & Application),7.31
Education,7.19
Entertainment,6.41
Hospitals/Healthcare Facilities,5.96
Retail (Online),5.7
Semiconductor,5.3
Green & Renewable Energy,5.28
Real Estate (Operations & Services),4.99
Semiconductor Equip,4.79
Information Services,4.63
Tobacco,4.6
Household Products,4.33
Financial Svcs. (Non-bank & Insurance),4.31
Brokerage & Investment Banking,4.03
Software (Internet),3.78
Utility (General),3.76
Banks (Regional),3.58
Transportation (Railroads),3.58
Drugs (Pharmaceutical),3.57
Bank (Money Center),3.34
Hotel/Gaming,3.11
Restaurant/Dining,3.04
Aerospace/Defense,2.72
Real Estate (General/Diversified),2.71
Investments & Asset Management,2.7
Beverage (Soft),2.67
Machinery,2.51
Office Equipment & Services,2.51
Environmental & Waste Services,2.42
Electrical Equipment,2.41
Chemical (Specialty),2.34
Recreation,2.32
Shoe,2.25
Telecom. Equipment,2.24
Advertising,2.23
Precious Metals,2.21
Utility (Water),2.15
Cable TV,2.1
Retail (Building Supply),2.06
Building Materials,2.05
Broadcasting,2.01
Business & Consumer Services,2.01
Furn/Home Furnishings,2
Publishing & Newspapers,1.95
Oil/Gas (Production and Exploration),1.91
Total Market,1.8
Chemical (Diversified),1.77
Oil/Gas (Integrated),1.77
Chemical (Basic),1.72
Shipbuilding & Marine,1.72
Total Market (without financials),1.72
Electronics (General),1.66
Packaging & Container,1.66
Food Processing,1.65
Homebuilding,1.62
Air Transport,1.5
Retail (Special Lines),1.5
Computer Services,1.49
Telecom. Services,1.36
Computers/Peripherals,1.28
Construction Supplies,1.27
Telecom (Wireless),1.27
Auto & Truck,1.26
Auto Parts,1.24
Apparel,1.22
Paper/Forest Products,1.22
Transportation,1.22
Trucking,1.2
Metals & Mining,1.19
Rubber& Tires,1.19
Farming/Agriculture,1.17
Power,1.12
Insurance (Life),1.06
Insurance (General),1.01
Retail (General),0.94
Coal & Related Energy,0.93
Healthcare Support Services,0.89
Real Estate (Development),0.84
Oil/Gas Distribution,0.81
Oilfield Svcs/Equip.,0.81
Steel,0.79
Retail (Grocery and Food),0.78
Electronics (Consumer & Office),0.74
Reinsurance,0.66
Diversified,0.6
Retail (Automotive),0.59
Insurance (Prop/Cas.),0.46
Food Wholesalers,0.44
Retail (Distributors),0.31
Engineering/Construction,0.29
